t,binance_funding_rate,funding_payment
1737478800000,,2.681e-05
1737482400000,,0.00012987
1737486000000,,3.691e-05
1737489600000,,3.443e-05
1737493200000,,1.25e-05
1737496800000,,2.038e-05
1737500400000,,1.25e-05
1737504000000,0.0001,6.869e-05
1737507600000,,3.543e-05
1737511200000,,1.25e-05
1737514800000,,1.564e-05
1737518400000,,4.048e-05
1737522000000,,1.25e-05
1737525600000,,4.868e-05
1737529200000,,3.121e-05
1737532800000,0.0001,1.25e-05
1737536400000,,1.25e-05
1737540000000,,1.25e-05
1737543600000,,1.644e-05
1737547200000,,2.434e-05
1737550800000,,1.25e-05
1737554400000,,4.44e-05
1737558000000,,2.732e-05
1737561600000,0.0001,1.25e-05
1737565200000,,3.284e-05
1737568800000,,3.932e-05
1737572400000,,1.25e-05
1737576000000,,1.754e-05
1737579600000,,3.936e-05
1737583200000,,1.25e-05
1737586800000,,1.25e-05
1737590400000,,1.25e-05
1737590400001,8.654e-05,
1737594000000,,1.25e-05
1737597600000,,1.25e-05
1737601200000,,1.25e-05
1737604800000,,1.25e-05
1737608400000,,4.94e-06
1737612000000,,1.25e-05
1737615600000,,1.25e-05
1737619200000,0.0001,1.25e-05
1737622800000,,1.25e-05
1737626400000,,1.25e-05
1737630000000,,1.25e-05
1737633600000,,1.25e-05
1737637200000,,1.25e-05
1737640800000,,1.25e-05
1737644400000,,1.25e-05
1737648000000,8.616e-05,3.137e-05
1737651600000,,1.25e-05
1737655200000,,1.25e-05
1737658800000,,1.25e-05
1737662400000,,-1.2e-07
1737666000000,,-1.977e-05
1737669600000,,1.25e-05
1737673200000,,1.25e-05
1737676800000,3.34e-06,1.25e-05
1737680400000,,1.25e-05
1737684000000,,1.25e-05
1737687600000,,1.25e-05
1737691200000,,1.25e-05
1737694800000,,1.25e-05
1737698400000,,1.25e-05
1737702000000,,1.25e-05
1737705600000,7.537e-05,1.25e-05
1737709200000,,1.25e-05
1737712800000,,1.25e-05
1737716400000,,1.25e-05
1737720000000,,1.25e-05
1737723600000,,1.25e-05
1737727200000,,1.25e-05
1737730800000,,1.25e-05
1737734400000,9.54e-05,1.25e-05
1737738000000,,1.25e-05
1737741600000,,1.25e-05
1737745200000,,1.25e-05
1737748800000,,1.25e-05
1737752400000,,1.25e-05
1737756000000,,1.25e-05
1737759600000,,-1.028e-05
1737763200000,5.702e-05,1.25e-05
1737766800000,,-1.649e-05
1737770400000,,1.25e-05
1737774000000,,1.25e-05
1737777600000,,1.25e-05
1737781200000,,1.25e-05
1737784800000,,1.25e-05
1737788400000,,1.25e-05
1737792000000,8.495e-05,1.25e-05
1737795600000,,1.25e-05
1737799200000,,1.25e-05
1737802800000,,1.25e-05
1737806400000,,1.25e-05
1737810000000,,1.25e-05
1737813600000,,1.25e-05
1737817200000,,1.25e-05
1737820800000,,1.25e-05
1737820800001,7.782e-05,
1737824400000,,8.75e-06
1737828000000,,1.25e-05
1737831600000,,1.25e-05
1737835200000,,1.25e-05
1737838800000,,1.25e-05
1737842400000,,1.25e-05
1737846000000,,1.25e-05
1737849600000,8.363e-05,1.25e-05
1737853200000,,1.25e-05
1737856800000,,1.25e-05
1737860400000,,1.25e-05
1737864000000,,1.25e-05
1737867600000,,1.25e-05
1737871200000,,1.25e-05
1737874800000,,1.25e-05
1737878400000,0.0001,1.25e-05
1737882000000,,1.25e-05
1737885600000,,1.25e-05
1737889200000,,1.25e-05
1737892800000,,1.25e-05
1737896400000,,1.25e-05
1737900000000,,1.25e-05
1737903600000,,1.25e-05
1737907200000,8.443e-05,1.25e-05
1737910800000,,1.25e-05
1737914400000,,1.25e-05
1737918000000,,1.25e-05
1737921600000,,1.25e-05
1737925200000,,1.25e-05
1737928800000,,1.25e-05
1737932400000,,1.25e-05
1737936000000,9.084e-05,1.25e-05
1737939600000,,-3.212e-05
1737943200000,,-1.03e-05
1737946800000,,-2.29e-05
1737950400000,,-6.54e-06
1737954000000,,-1.468e-05
1737957600000,,1.25e-05
1737961200000,,-4.109e-05
1737964800000,3.712e-05,1.25e-05
1737968400000,,1.25e-05
1737972000000,,1.25e-05
1737975600000,,1.25e-05
1737979200000,,1.25e-05
1737982800000,,1.25e-05
1737986400000,,3.827e-05
1737990000000,,6.134e-05
1737993600000,9.8e-07,1.25e-05
1737997200000,,-1.395e-05
1738000800000,,1.083e-05
1738004400000,,1.25e-05
1738008000000,,1.25e-05
