t,binance_funding_rate,funding_payment
1738450800000,,-5.002e-05
1738454400000,,-3.457e-05
1738454400001,0.0001,
1738458000000,,1.25e-05
1738461600000,,4.29e-06
1738465200000,,-4.587e-05
1738468800000,,9.09e-06
1738472400000,,8e-06
1738476000000,,-2.6e-07
1738479600000,,1.25e-05
1738483200000,4.929e-05,4.95e-06
1738486800000,,1.25e-05
1738490400000,,1.25e-05
1738494000000,,1.25e-05
1738497600000,,1.25e-05
1738501200000,,1.25e-05
1738504800000,,1.25e-05
1738508400000,,1.25e-05
1738512000000,5.781e-05,-2.455e-05
1738515600000,,1.25e-05
1738519200000,,3.853e-05
1738522800000,,1.25e-05
1738526400000,,1.25e-05
1738530000000,,1.25e-05
1738533600000,,1.25e-05
1738537200000,,1.25e-05
1738540800000,2.796e-05,1.25e-05
1738544400000,,1.25e-05
1738548000000,,2.023e-05
1738551600000,,1.25e-05
1738555200000,,1.25e-05
1738558800000,,1.25e-05
1738562400000,,1.25e-05
1738566000000,,1.25e-05
1738569600000,-0.00035271,1.25e-05
1738573200000,,1.25e-05
1738576800000,,1.25e-05
1738580400000,,1.25e-05
1738584000000,,-1.79e-06
1738587600000,,1.25e-05
1738591200000,,-3.434e-05
1738594800000,,-1.204e-05
1738598400000,-0.00044154,-0.00013256
1738602000000,,1.25e-05
1738605600000,,-2.2e-05
1738609200000,,-1.65e-05
1738612800000,,1.25e-05
1738616400000,,-8.621e-05
1738620000000,,1.25e-05
1738623600000,,-0.00013557
1738627200000,-0.00027834,-2.654e-05
1738630800000,,-4.731e-05
1738634400000,,-5.982e-05
1738638000000,,-3.196e-05
1738641600000,,-5.273e-05
1738645200000,,-5.75e-05
1738648800000,,1.25e-05
1738652400000,,7.23e-06
1738656000000,,1.25e-05
1738656000001,-9.727e-05,
1738659600000,,1.25e-05
1738663200000,,1.25e-05
1738666800000,,-0.00012887
1738670400000,,1.25e-05
1738674000000,,1.25e-05
1738677600000,,1.25e-05
1738681200000,,1.25e-05
1738684800000,-0.00026689,1.25e-05
1738688400000,,-1.49e-05
1738692000000,,1.25e-05
1738695600000,,1.25e-05
1738699200000,,-1.916e-05
1738702800000,,1.25e-05
1738706400000,,-6.156e-05
1738710000000,,1.25e-05
1738713600000,,1.25e-05
1738713600001,-6.04e-05,
1738717200000,,1.25e-05
1738720800000,,1.25e-05
1738724400000,,4.39e-06
1738728000000,,7.3e-07
1738731600000,,1.25e-05
1738735200000,,1.25e-05
1738738800000,,-3.519e-05
1738742400000,,-1.433e-05
1738742400001,-6.149e-05,
1738746000000,,-1.288e-05
1738749600000,,-2.783e-05
1738753200000,,-5.062e-05
1738756800000,,-5.035e-05
1738760400000,,-5.994e-05
1738764000000,,-3.477e-05
1738767600000,,-8.05e-06
1738771200000,-0.00021171,-3.08e-06
1738774800000,,1.25e-05
1738778400000,,-4.61e-06
1738782000000,,1.25e-05
1738785600000,,1.25e-05
1738789200000,,1.25e-05
1738792800000,,1.25e-05
1738796400000,,-2.392e-05
1738800000000,,-8.201e-05
1738800000001,-4.77e-06,
1738803600000,,-2.88e-05
1738807200000,,1.25e-05
1738810800000,,-5.26e-05
1738814400000,,6.82e-06
1738818000000,,1.25e-05
1738821600000,,1.25e-05
1738825200000,,1.52e-06
1738828800000,,6.1e-06
1738828800001,-0.00025769,
1738832400000,,1.25e-05
1738836000000,,-2.48e-06
1738839600000,,1.25e-05
1738843200000,,1.25e-05
1738846800000,,1.25e-05
1738850400000,,-3.078e-05
1738854000000,,-4.185e-05
1738857600000,-0.00011709,-6.013e-05
1738861200000,,-0.00018859
1738864800000,,-5.197e-05
1738868400000,,-3.318e-05
1738872000000,,-8.27e-06
1738875600000,,-1.54e-06
1738879200000,,-4.18e-06
1738882800000,,-4.332e-05
1738886400000,-0.00012233,7.08e-06
1738890000000,,-8.064e-05
1738893600000,,-5.768e-05
1738897200000,,-4.64e-05
1738900800000,,-8.65e-06
1738904400000,,-3.546e-05
1738908000000,,-2.285e-05
1738911600000,,-4.561e-05
1738915200000,-6.901e-05,-3.199e-05
1738918800000,,-8.75e-06
1738922400000,,1.25e-05
1738926000000,,6.6e-06
1738929600000,,-7.289e-05
1738933200000,,1.25e-05
1738936800000,,-1.217e-05
1738940400000,,8.37e-06
1738944000000,-0.00017662,-3e-05
1738947600000,,-4.36e-05
1738951200000,,-5.694e-05
1738954800000,,-8.741e-05
1738958400000,,-4.316e-05
1738962000000,,1.25e-05
1738965600000,,1.25e-05
1738969200000,,-1.22e-06
1738972800000,-8.133e-05,-1.134e-05
1738976400000,,-4.474e-05
1738980000000,,-7.248e-05
1738983600000,,-1.963e-05
1738987200000,,-4.768e-05
1738990800000,,1.25e-05
1738994400000,,1.25e-05
1738998000000,,-3.55e-05
1739001600000,6.463e-05,-3.554e-05
1739005200000,,-4.217e-05
1739008800000,,7.69e-06
1739012400000,,-3.62e-05
1739016000000,,-8.758e-05
1739019600000,,-3.429e-05
