t,binance_funding_rate,funding_payment
1737054000000,,4.08e-05
1737057600000,,0.0001658
1737061200000,,8.752e-05
1737064800000,,3.613e-05
1737068400000,,1.25e-05
1737072000000,,1.25e-05
1737072000004,0.0001,
1737075600000,,1.25e-05
1737079200000,,1.25e-05
1737082800000,,1.25e-05
1737086400000,,1.25e-05
1737090000000,,1.25e-05
1737093600000,,3.58e-06
1737097200000,,1.25e-05
1737100800000,6.516e-05,1.25e-05
1737104400000,,1.25e-05
1737108000000,,1.25e-05
1737111600000,,1.25e-05
1737115200000,,8.663e-05
1737118800000,,1.25e-05
1737122400000,,1.25e-05
1737126000000,,1.25e-05
1737129600000,,2.735e-05
1737129600008,-2.016e-05,
1737133200000,,8.787e-05
1737136800000,,1.25e-05
1737140400000,,1.25e-05
1737144000000,,6.89e-05
1737147600000,,3.987e-05
1737151200000,,1.25e-05
1737154800000,,1.25e-05
1737158400000,5.376e-05,5.614e-05
1737162000000,,1.825e-05
1737165600000,,1.25e-05
1737169200000,,1.25e-05
1737172800000,,1.25e-05
1737176400000,,1.25e-05
1737180000000,,-0.00011116
1737183600000,,2.484e-05
1737187200000,,1.25e-05
1737187200007,8.2e-05,
1737190800000,,1.25e-05
1737194400000,,1.25e-05
1737198000000,,1.25e-05
1737201600000,,1.25e-05
1737205200000,,7.27e-06
1737208800000,,1.25e-05
1737212400000,,1.25e-05
1737216000000,6.956e-05,1.25e-05
1737219600000,,1.25e-05
1737223200000,,1.25e-05
1737226800000,,1.25e-05
1737230400000,,2.18e-05
1737234000000,,1.25e-05
1737237600000,,1.25e-05
1737241200000,,1.25e-05
1737244800000,0.0001,1.25e-05
1737248400000,,1.25e-05
1737252000000,,0.0001014
1737255600000,,6.897e-05
1737259200000,,1.25e-05
1737262800000,,1.25e-05
1737266400000,,1.25e-05
1737270000000,,1.25e-05
1737273600000,0.0001,1.25e-05
1737277200000,,2.58e-06
1737280800000,,1.25e-05
1737284400000,,1.25e-05
1737288000000,,1.25e-05
1737291600000,,1.25e-05
1737295200000,,1.25e-05
1737298800000,,1.25e-05
1737302400000,-1.162e-05,1.25e-05
1737306000000,,1.25e-05
1737309600000,,1.687e-05
1737313200000,,1.25e-05
1737316800000,,4.579e-05
1737320400000,,1.25e-05
1737324000000,,1.25e-05
1737327600000,,1.045e-05
1737331200000,5.681e-05,-6.007e-05
1737334800000,,-6.115e-05
1737338400000,,1.25e-05
1737342000000,,1.25e-05
1737345600000,,1.25e-05
1737349200000,,1.25e-05
1737352800000,,1.25e-05
1737356400000,,8.693e-05
1737360000000,,5.075e-05
1737360000009,0.0001,
1737363600000,,7.143e-05
1737367200000,,0.00010647
1737370800000,,0.00012949
1737374400000,,0.00015924
1737378000000,,0.00015901
1737381600000,,0.00010002
1737385200000,,0.00014729
1737388800000,0.0001,6.357e-05
1737392400000,,9.22e-05
1737396000000,,1.25e-05
1737399600000,,3.162e-05
1737403200000,,5.646e-05
1737406800000,,5.159e-05
1737410400000,,1.471e-05
1737414000000,,8.065e-05
1737417600000,0.0001,1.25e-05
1737421200000,,1.25e-05
1737424800000,,1.428e-05
1737428400000,,1.464e-05
1737432000000,,5.027e-05
1737435600000,,1.25e-05
1737439200000,,1.983e-05
1737442800000,,3.859e-05
1737446400000,7.298e-05,3.524e-05
1737450000000,,1.25e-05
1737453600000,,1.25e-05
1737457200000,,2.198e-05
1737460800000,,6.342e-05
1737464400000,,7.332e-05
1737468000000,,2.639e-05
1737471600000,,4.108e-05
1737475200000,7.88e-06,2.959e-05
1737478800000,,5.485e-05
1737482400000,,0.00015069
1737486000000,,8.412e-05
1737489600000,,5.466e-05
1737493200000,,8.341e-05
1737496800000,,5.431e-05
1737500400000,,9.784e-05
1737504000000,0.0001,7.928e-05
1737507600000,,0.00012722
1737511200000,,7.709e-05
1737514800000,,7.208e-05
1737518400000,,6.735e-05
1737522000000,,2.045e-05
1737525600000,,7.593e-05
1737529200000,,5.986e-05
1737532800000,0.0001,8.73e-05
1737536400000,,7.35e-05
1737540000000,,7.947e-05
1737543600000,,2.438e-05
1737547200000,,7.283e-05
1737550800000,,3.824e-05
1737554400000,,4.366e-05
1737558000000,,1.25e-05
1737561600000,0.0001,1.25e-05
1737565200000,,1.25e-05
1737568800000,,1.25e-05
1737572400000,,1.25e-05
1737576000000,,5.379e-05
1737579600000,,1.25e-05
1737583200000,,1.25e-05
1737586800000,,8.49e-05
1737590400000,,1.25e-05
1737590400001,0.0001,
1737594000000,,1.25e-05
1737597600000,,1.25e-05
1737601200000,,1.087e-05
1737604800000,,1.25e-05
1737608400000,,-1.1e-07
1737612000000,,1.25e-05
1737615600000,,1.25e-05
1737619200000,8.339e-05,1.25e-05
1737622800000,,1.25e-05
1737626400000,,1.25e-05
1737630000000,,1.25e-05
1737633600000,,1.25e-05
1737637200000,,1.25e-05
1737640800000,,1.25e-05
1737644400000,,-9.3e-07
1737648000000,1.281e-05,1.25e-05
1737651600000,,1.25e-05
1737655200000,,1.25e-05
1737658800000,,1.25e-05
1737662400000,,1.25e-05
1737666000000,,1.25e-05
1737669600000,,1.25e-05
1737673200000,,1.25e-05
1737676800000,3.375e-05,1.25e-05
1737680400000,,1.25e-05
1737684000000,,1.25e-05
1737687600000,,-1.114e-05
1737691200000,,1.25e-05
1737694800000,,1.25e-05
1737698400000,,1.25e-05
1737702000000,,1.25e-05
1737705600000,0.0001,2.804e-05
1737709200000,,3.971e-05
1737712800000,,1.25e-05
1737716400000,,1.25e-05
1737720000000,,1.25e-05
1737723600000,,2.755e-05
1737727200000,,1.25e-05
1737730800000,,3.572e-05
1737734400000,0.0001,1.25e-05
1737738000000,,1.25e-05
1737741600000,,1.25e-05
1737745200000,,-2.09e-05
1737748800000,,1.25e-05
1737752400000,,1.25e-05
1737756000000,,1.25e-05
1737759600000,,1.25e-05
1737763200000,1.509e-05,1.25e-05
1737766800000,,1.25e-05
1737770400000,,1.25e-05
1737774000000,,1.25e-05
1737777600000,,1.25e-05
1737781200000,,1.25e-05
1737784800000,,1.25e-05
1737788400000,,1.25e-05
1737792000000,7.5e-06,1.25e-05
1737795600000,,1.25e-05
1737799200000,,1.25e-05
1737802800000,,1.25e-05
1737806400000,,1.25e-05
1737810000000,,1.25e-05
1737813600000,,1.25e-05
1737817200000,,1.25e-05
1737820800000,,7.679e-05
1737820800001,0.0001,
1737824400000,,1.343e-05
1737828000000,,2.166e-05
1737831600000,,1.751e-05
1737835200000,,2.365e-05
1737838800000,,3.364e-05
1737842400000,,2.507e-05
1737846000000,,1.25e-05
1737849600000,0.0001,1.25e-05
1737853200000,,1.25e-05
1737856800000,,1.25e-05
1737860400000,,1.25e-05
1737864000000,,1.25e-05
1737867600000,,1.25e-05
1737871200000,,2.536e-05
1737874800000,,1.25e-05
1737878400000,0.0001,6.083e-05
1737882000000,,2.91e-05
1737885600000,,1.25e-05
1737889200000,,1.25e-05
1737892800000,,5.33e-05
1737896400000,,1.25e-05
1737900000000,,2.147e-05
